HP|202502|20250201
PS|3618GSP84|DA3147|C|SF|20250201|7|20550120|1675110|1675110.23|1|4331|Mortgage Lenders Inv. Trading Corp.|7|1675110.23|239488.29|249767.36|7.25|359|1|360||94|94|665|0.428|||||||Y
PS|3618GSQA8|DA3149|C|SF|20250201|6.5|20550120|1063469|1063469.92|1|4331|Mortgage Lenders Inv. Trading Corp.|3|1063469.92|355040.67|369673.8|6.75|358|2|360||85|85|707|0.498|||||||Y
PS|3618H7DS8|DB4613|C|ET|20250201|6.5|20641120|255256|255256.59|1|4386|Allied Mortgage Group, Inc.|1|255256.59|255550.38|255550.38|7|477|3|480||62|62|620|0.44||255550.38|||||Y
PS|3618H7DT6|DB4614|C|ET|20250201|7|20641020|341596|341596.37|1|4386|Allied Mortgage Group, Inc.|1|341596.37|342053.11|342053.11|7.5|476|4|480||95|95|620|0.41||342053.11|||||Y
PS|3618H7DW9|DB4617|C|SF|20250201|5.5|20550220|2001861|2001861.1|1|4386|Allied Mortgage Group, Inc.|7|2001861.1|286210.57|318107.93|5.811|359|1|360||79|79|637|0.474|||||||Y
PS|3618H7D25|DB4621|C|SF|20250201|6|20550120|1281604|1281604.19|1|4386|Allied Mortgage Group, Inc.|3|1281604.19|427590.67|475592.62|6.466|359|1|360||95|95|679|0.458|||||||Y
PS|3618J3LS6|DD9337|C|ET|20250201|6.5|20650120|554369|554369.48|1|4033|Gateway Mortgage,A Division Of Gateway F|3|554369.48|184896.66|194684.13|7.25|478|2|480||87|87|659|0.443|77|221914.59|||||Y
PS|3618JLAP4|DF2714|C|SF|20250201|5.5|20550220|1353984|1353984.58|1|4269|Fairway Independent Mortgage Corporation|4|1353984.58|338752|338876.22|6.023|359|1|360||93|93|675|0.484|||||||Y
PS|3618JLAQ2|DF2715|C|SF|20250201|6|20550220|1827113|1827113.97|1|4269|Fairway Independent Mortgage Corporation|6|1827113.97|304748.33|304756.62|6.543|359|1|360||96|96|749|0.446|||||||Y
PS|3618JLAR0|DF2716|C|SF|20250201|6|20550220|3717135|3717135.89|1|4269|Fairway Independent Mortgage Corporation|11|3717135.89|338169.55|338322.5|6.488|359|1|360||95|95|680|0.481|||||||Y
PS|3618JLAS8|DF2717|C|SF|20250201|6|20550220|3352378|3352378.37|1|4269|Fairway Independent Mortgage Corporation|9|3352378.37|372795.56|373958.66|6.368|359|1|360||93|93|676|0.427|||||||Y
PS|3618JLAT6|DF2718|C|SF|20250201|6|20550220|1383348|1383348.44|1|4269|Fairway Independent Mortgage Corporation|7|1383348.44|197695.43|199832.52|6.585|360|0|360||92|93|696|0.379|||||||Y
PS|3618JLAU3|DF2719|C|SF|20250201|6|20550220|1321219|1321219.36|1|4269|Fairway Independent Mortgage Corporation|5|1321219.36|264335.8|264640.83|6.551|360|0|360||99|99|740|0.43|||||||Y
PS|3618JLAV1|DF2720|C|SF|20250201|6|20550220|1994934|1994934.13|1|4269|Fairway Independent Mortgage Corporation|7|1994934.13|285215.71|285410.71|6.447|359|1|360||90|90|731|0.44|||||||Y
PS|3618JLAW9|DF2721|C|SF|20250201|6|20550120|1261174|1261174.21|1|4269|Fairway Independent Mortgage Corporation|4|1261174.21|315593|315682.73|6.25|359|1|360||96|96|704|0.473|||||||Y
PS|3618JLAX7|DF2722|C|SF|20250201|6|20550220|2025681|2025681.92|1|4269|Fairway Independent Mortgage Corporation|6|2025681.92|337863.33|338015.47|6.563|359|1|360||98|98|687|0.473|||||||Y
PS|3618JLAY5|DF2723|C|SF|20250201|6|20550220|1573763|1573763.41|1|4269|Fairway Independent Mortgage Corporation|4|1573763.41|393712.5|393752.54|6.377|359|1|360||94|94|694|0.491|||||||Y
PS|3618JLAZ2|DF2724|C|SF|20250201|6.5|20550120|1071271|1071271.38|1|4269|Fairway Independent Mortgage Corporation|3|1071271.38|357373.67|364755.58|7.171|359|1|360||98|98|686|0.449|||||||Y
PS|3618JLA25|DF2725|C|SF|20250201|7|20550120|1038852|1038852.96|1|4269|Fairway Independent Mortgage Corporation|5|1038852.96|207932.8|208283.51|7.25|359|1|360||99|99|690|0.415|||||||Y
PS|3618JLA33|DF2726|C|SF|20250201|5.5|20550220|1625559|1625559.7|1|4269|Fairway Independent Mortgage Corporation|7|1625559.7|232316.86|232437.79|6.178|360|0|360||95|95|731|0.435|||||||Y
PS|3618JLA41|DF2727|C|SF|20250201|5.5|20550220|1275596|1275596.95|1|4269|Fairway Independent Mortgage Corporation|4|1275596.95|318974.75|319056.95|6.122|360|0|360||91|91|689|0.453|||||||Y
PS|3618JLA58|DF2728|C|SF|20250201|5.5|20550220|1148489|1148489.22|1|4269|Fairway Independent Mortgage Corporation|4|1148489.22|287336|287554.05|6.023|359|1|360||93|93|736|0.546|||||||Y
PS|3618JLA66|DF2729|C|SF|20250201|6|20550220|1560953|1560953.58|1|4269|Fairway Independent Mortgage Corporation|10|1560953.58|156178.6|156473.12|6.541|359|1|360||88|88|660|0.389|||||||Y
PS|3618JLA74|DF2730|C|SF|20250201|6|20550220|1730233|1730233.15|1|4269|Fairway Independent Mortgage Corporation|9|1730233.15|192308.89|192551.08|6.375|360|0|360||93|94|682|0.368|||||||Y
PS|3618JLA82|DF2731|C|SF|20250201|6|20550220|1280268|1280268.67|1|4269|Fairway Independent Mortgage Corporation|8|1280268.67|160132|168410.95|6.544|359|1|360||97|97|689|0.373|||||||Y
